date,total_value
2000-01-12,172890.5
2000-01-13,182256.43
2000-01-14,185132.11
2000-01-18,187748.18
2000-01-19,190304.34
2000-01-20,190743.68
2000-01-21,192241.43
2000-01-24,182256.43
2000-01-25,186070.69999999998
2000-01-26,178761.68
2000-01-27,180758.68
2000-01-28,171272.93
2000-01-31,179760.18
2000-02-01,184752.68
2000-02-02,185511.53999999998
2000-02-03,192001.78999999998
2000-02-04,193559.44999999998
2000-02-07,196554.94999999998
2000-02-08,204223.43
2000-02-09,197733.18
2000-02-10,204103.61
2000-02-11,197733.18
2000-02-14,198452.1
2000-02-15,200229.43
2000-02-16,199730.18
2000-02-17,203484.53999999998
2000-02-18,197353.75
2000-02-22,197054.19999999998
2000-02-23,207977.78999999998
2000-02-24,212710.68
2000-02-25,208097.61
2000-02-28,207218.93
2000-02-29,213709.18
2000-03-01,214967.28999999998
2000-03-02,209974.78999999998
2000-03-03,218741.62
2000-03-06,222695.68
2000-03-07,219200.93
2000-03-08,222815.5
2000-03-09,229685.18
2000-03-10,229066.11
2000-03-13,222076.61
2000-03-14,213709.18
2000-03-15,205661.27
2000-03-16,216704.68
2000-03-17,221317.75
2000-03-20,214208.43
2000-03-21,222695.68
2000-03-22,227688.18
2000-03-23,232441.03999999998
2000-03-24,235436.53999999998
2000-03-27,234398.1
2000-03-28,229685.18
2000-03-29,220698.68
2000-03-30,214208.43
2000-03-31,218701.68
2000-04-03,206719.68
2000-04-04,201227.93
2000-04-05,197733.18
2000-04-06,204343.25
2000-04-07,211712.18
2000-04-10,199730.18
2000-04-11,195196.99
2000-04-12,183754.18
2000-04-13,177763.18
2000-04-14,159290.93
2000-04-17,177763.18
2000-04-18,183254.93
2000-04-19,177883.0
2000-04-20,173529.53999999998
2000-04-24,169775.18
2000-04-25,180638.86
2000-04-26,174528.03999999998
2000-04-27,182516.03999999998
2000-04-28,188746.68
2000-05-01,191242.93
2000-05-02,179760.18
2000-05-03,178522.03999999998
2000-05-04,178022.78999999998
2000-05-05,182755.68
2000-05-08,176265.43
2000-05-09,170773.68
2000-05-10,159790.18
2000-05-11,169275.93
2000-05-12,169156.11
2000-05-15,177024.28999999998
2000-05-16,181877.0
2000-05-17,178142.61
2000-05-18,171153.11
2000-05-19,163165.11
2000-05-22,163784.18
2000-05-23,150064.78999999998
2000-05-24,159290.93
2000-05-25,154797.68
2000-05-26,155177.11
2000-05-30,170773.68
2000-05-31,165781.18
2000-06-01,174767.68
2000-06-02,186250.43
2000-06-05,187009.28999999998
2000-06-06,182516.03999999998
2000-06-07,186629.86
2000-06-08,185751.18
2000-06-09,186869.5
2000-06-12,181757.18
2000-06-13,188127.61
2000-06-14,184073.69999999998
2000-06-15,187348.78
2000-06-16,188087.66999999998
2000-06-19,195356.75
2000-06-20,196515.00999999998
2000-06-21,197114.11
2000-06-22,189285.87
2000-06-23,183035.25999999998
2000-06-26,188127.61
2000-06-27,185192.02
2000-06-28,187528.50999999998
2000-06-29,183155.08
2000-06-30,186130.61
2000-07-03,190004.78999999998
2000-07-05,182256.43
2000-07-06,188866.5
2000-07-07,190563.94999999998
2000-07-10,188247.43
2000-07-11,186150.58
2000-07-12,193679.27
2000-07-13,197613.36
2000-07-14,200988.28999999998
2000-07-17,202605.86
2000-07-18,198232.43
2000-07-19,193000.28999999998
2000-07-20,200109.61
2000-07-21,194358.25
2000-07-24,188367.25
2000-07-25,191901.94
2000-07-26,191003.28999999998
2000-07-27,182875.5
2000-07-28,173389.75
2000-07-31,178761.68
2000-08-01,176584.94999999998
2000-08-02,173489.6
2000-08-03,181377.75
2000-08-04,179760.18
2000-08-07,184293.37
2000-08-08,183754.18
2000-08-09,182975.35
2000-08-10,179640.36
2000-08-11,181517.53999999998
2000-08-14,185631.36
2000-08-15,185871.0
2000-08-16,186589.91999999998
2000-08-17,190623.86
2000-08-18,190024.75999999998
2000-08-21,191242.93
2000-08-22,190623.86
2000-08-23,193739.18
2000-08-24,196854.5
2000-08-25,196495.03999999998
2000-08-28,196614.86
2000-08-29,197393.69
2000-08-30,197513.50999999998
2000-08-31,203484.53999999998
2000-09-01,204722.68
2000-09-05,198771.62
2000-09-06,191862.0
2000-09-07,196235.43
2000-09-08,189505.53999999998
2000-09-11,185311.84
2000-09-12,182376.25
2000-09-13,186629.86
2000-09-14,186510.03999999998
2000-09-15,182516.03999999998
2000-09-18,179380.75
2000-09-19,186749.68
2000-09-20,189126.11
2000-09-21,184533.00999999998
2000-09-22,185631.36
2000-09-25,180139.61
2000-09-26,177643.36
2000-09-27,178761.68
2000-09-28,184652.83
2000-09-29,177144.11
2000-10-02,173269.93
2000-10-03,166540.03999999998
2000-10-04,171033.28999999998
2000-10-05,171532.53999999998
2000-10-06,165781.18
2000-10-09,165042.28999999998
2000-10-10,156415.25
2000-10-11,153919.0
2000-10-12,150064.78999999998
2000-10-13,162286.43
2000-10-16,163045.28999999998
2000-10-17,156295.43
2000-10-18,155796.18
2000-10-19,169895.0
2000-10-20,172391.25
2000-10-23,172151.61
2000-10-24,164662.86
2000-10-25,155556.53999999998
2000-10-26,159550.53999999998
2000-10-27,159231.02
2000-10-30,153339.87
2000-10-31,163185.08
2000-11-01,161787.18
2000-11-02,163784.18
2000-11-03,165901.0
2000-11-06,164662.86
2000-11-07,164043.78999999998
2000-11-08,151203.08
2000-11-09,151183.11
2000-11-10,143314.93
2000-11-13,139940.0
2000-11-14,151482.66
2000-11-15,154558.03999999998
2000-11-16,145571.53999999998
2000-11-17,145471.69
2000-11-20,139540.6
2000-11-21,139320.93
2000-11-22,133090.28999999998
2000-11-24,140698.86
2000-11-27,138941.5
2000-11-28,130733.83
2000-11-29,125721.35999999999
2000-11-30,125801.23999999999
2000-12-01,127838.18
2000-12-04,127219.10999999999
2000-12-05,141198.11
2000-12-06,135826.18
2000-12-07,132830.68
2000-12-08,135826.18
2000-12-11,148567.03999999998
2000-12-12,143135.19999999998
2000-12-13,137283.99
2000-12-14,130594.03999999998
2000-12-15,127598.54
2000-12-18,127838.18
2000-12-19,118112.79
2000-12-20,111322.98999999999
2000-12-21,111982.0
2000-12-22,120848.68
2000-12-26,121607.54
2000-12-27,122965.5
2000-12-28,122725.85999999999
2000-12-29,116615.04
2001-01-02,106749.85999999999
2001-01-03,124722.85999999999
2001-01-04,122466.25
2001-01-05,113120.29
2001-01-08,114358.43
2001-01-09,114358.43
2001-01-10,120229.60999999999
2001-01-11,123724.35999999999
2001-01-12,125301.98999999999
2001-01-16,123804.23999999999
2001-01-17,127598.54
2001-01-18,132950.5
2001-01-19,132451.25
2001-01-22,132591.03999999998
2001-01-23,135366.87
2001-01-24,134088.78999999998
2001-01-25,128836.68
2001-01-26,130933.52999999998
2001-01-29,133829.18
2001-01-30,133329.93
2001-01-31,128437.27999999998
2001-02-01,130134.73000000001
2001-02-02,122945.52999999998
2001-02-05,122845.68
2001-02-06,123045.37999999999
2001-02-07,121048.37999999999
2001-02-08,117433.81
2001-02-09,112660.98
2001-02-12,114018.93999999999
2001-02-13,110464.27999999998
2001-02-14,114757.83
2001-02-15,116654.98
2001-02-16,110124.79
2001-02-20,105851.20999999999
2001-02-21,102875.68
2001-02-22,101877.18
2001-02-23,102236.64
2001-02-26,104173.73
2001-02-27,97883.18
2001-02-28,94787.83
2001-03-01,97483.77999999998
2001-03-02,93290.08
2001-03-05,94987.52999999998
2001-03-06,98681.98
2001-03-07,98721.92
2001-03-08,96884.68
2001-03-09,90094.87999999999
2001-03-12,84503.27999999998
2001-03-13,88796.83
