Strategy,Total Return,CAGR,Annual Volatility,Max Drawdown,Sharpe Ratio,Calmar Ratio
TQQQ Strategy,22.228664260854117,0.12475559273913572,0.4891082402844814,-0.9773415898018293,0.48796013950494305,0.1276478910146777
QQQ Benchmark,11.254293199999998,0.09818920004316456,0.2702419163555918,-0.8297205692880129,0.48203098868312855,0.1183400818029872
