date,total_value,cash,qqq_val,tqqq_val,qqq_qty,tqqq_qty
1999-03-12,99910.03641512511,9968.936815125104,44953.880000000005,44987.219600000004,898,2812
1999-03-15,105024.1020151251,9968.936815125104,46247.0,48808.165199999996,898,2812
1999-03-16,106647.78481512511,9968.936815125104,46642.119999999995,50036.728,898,2812
1999-03-17,105220.83161512512,9968.936815125104,46300.880000000005,48951.014800000004,898,2812
1999-03-18,108920.7084151251,9968.936815125104,47198.880000000005,51752.891599999995,898,2812
1999-03-19,103813.7700151251,9968.936815125104,45995.56,47849.2732,898,2812
1999-03-22,101504.87121512511,9968.936815125104,45429.82,46106.1144,898,2812
1999-03-23,95108.31561512512,9968.936815125104,43831.380000000005,41307.9988,898,2812
1999-03-24,100747.5392151251,9968.936815125104,45322.06,45456.5424,898,2812
1999-03-25,107294.42641512511,9968.936815125104,46974.380000000005,50351.109599999996,898,2812
1999-03-26,105194.3304151251,9968.936815125104,46471.5,48753.8936,898,2812
1999-03-29,112113.45281512511,9968.936815125104,48159.740000000005,53984.776,898,2812
1999-03-30,110637.2896151251,9968.936815125104,47818.5,52849.8528,898,2812
1999-03-31,107644.7884151251,9968.936815125104,47118.06,50557.7916,898,2812
1999-04-01,111723.55721512511,9968.936815125104,48096.880000000005,53657.7404,898,2812
1999-04-05,119205.5316151251,9968.936815125104,49839.0,59397.594800000006,898,2812
1999-04-06,119647.65681512511,9968.936815125104,49937.78,59740.94,898,2812
1999-04-07,117280.45761512511,9968.936815125104,49416.94,57894.5808,898,2812
1999-04-08,119039.1164151251,9968.936815125104,49812.06,59258.1196,898,2812
1999-04-09,120413.2776151251,9968.936815125104,50117.380000000005,60326.96079999999,898,2812
1999-04-12,118894.0724151251,9968.936815125104,49785.119999999995,59140.015600000006,898,2812
1999-04-13,115851.4624151251,9968.936815125104,49111.619999999995,56770.9056,898,2812
1999-04-14,108390.74881512512,9968.936815125104,47423.380000000005,50998.432,898,2812
1999-04-15,111088.38161512511,9968.936815125104,48069.94,53049.5048,898,2812
1999-04-16,105114.06481512511,9968.936815125104,46669.06,48476.068,898,2812
1999-04-19,96147.9559946101,54402.409994610105,0.0,41745.546,0,2812
1999-04-20,98905.98158394486,950.3369839448569,0.0,97955.6446,0,6182
1999-04-21,113123.88888924927,62180.678289249256,0.0,50943.210600000006,0,2806
1999-04-22,117117.44836941177,9448.635769411754,52679.350000000006,54989.462600000006,965,2806
1999-04-23,119951.26216941176,9448.635769411754,53374.15,57128.4764,965,2806
1999-04-26,125089.32756941175,9448.635769411754,54609.350000000006,61031.341799999995,965,2806
1999-04-27,121471.83756941176,9448.635769411754,53769.799999999996,58253.4018,965,2806
1999-04-28,113722.33816941176,9448.635769411754,51926.65,52347.0524,965,2806
1999-04-29,112066.85556941177,9448.635769411754,51511.700000000004,51106.5198,965,2806
